,error_ractions,error_info
118,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(C)=O)cc4,Ignored this reaction
119,>>c1(nn(c2cccc(C#N)c2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
120,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(n5ccnc5C)cc4,Ignored this reaction
121,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(n5ccnc5)cc4,Ignored this reaction
122,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4ccc(n5cncn5)cc4,Ignored this reaction
123,>>c1(nn(c2ccccc2C#N)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
124,>>c1(nn(c2ccccn2)cc1Sc3ccc(Cl)cc3)c4ccc(n5ccnc5C)cc4,Ignored this reaction
125,>>c1(nn(c2cncc(F)c2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
126,>>c1(nn(c2cccnc2)cc1Sc3ccc(OC)cc3)c4ccc(C(N)=NO)cc4,Ignored this reaction
127,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cn3)c4ccc(c5ncon5)cc4,Ignored this reaction
128,>>c1(nn(c2cccnc2)cc1Sc3ccc(Br)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
129,>>c1(nn(c2cccnc2)cc1Sc3ccc(C(F)(F)F)cn3)c4ccc(c5ncon5)cc4,Ignored this reaction
130,>>c1(nn(c2cccnc2)cc1Sc3ccc(F)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
131,>>c1(nn(c2cccnc2)cc1Sc3ccc(F)c(F)c3)c4ccc(c5ncon5)cc4,Ignored this reaction
132,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3C)c4ccc(c5ncon5)cc4,Ignored this reaction
133,>>c1(nn(c2cccnc2)cc1Sc3ccc(O)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
134,>>c1(nn(c2cccnc2)cc1Sc3ccc(F)c(Cl)c3)c4ccc(c5ncon5)cc4,Ignored this reaction
135,>>c1(nn(c2ccc(F)nc2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
136,>>c1(nn(c2cccnc2)cc1Sc3ccc(C(F)(F)F)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
137,>>c1(nn(c2cccnc2)cc1Sc3cncs3)c4ccc(c5ncon5)cc4,Ignored this reaction
138,>>c1(nn(c2cccnc2)cc1Sc3ccc(OC(F)(F)F)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
139,>>c1(nn(c2cccnc2)cc1Sc3ccc(F)cc3F)c4ccc(c5ncon5)cc4,Ignored this reaction
140,>>c1(nn(c2ccc(C(N)=O)cc2)cc1Sc3ccc(OC(F)(F)F)cc3)c4ccc(c5ncon5)cc4,Ignored this reaction
141,>>c1(nn(c2ccc(C(N)=O)cc2)cc1Sc3ccc(F)c(F)c3)c4ccc(c5ncon5)cc4,Ignored this reaction
142,>>c1(nn(c2ccc(C(N)=O)cc2)cc1Sc3ccc(F)cc3F)c4ccc(c5ncon5)cc4,Ignored this reaction
143,>>c1(nn(c2ccc(C(F)(F)F)nc2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
144,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5noc(C(=O)N(CC)CC)n5)cc4,Ignored this reaction
145,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(C(=NO)NC(=O)c5ccccn5)cc4,Ignored this reaction
146,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5noc(Cc6ccccn6)n5)cc4,Ignored this reaction
147,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4ccc(c5noc(CCc6cccnc6)n5)cc4,Ignored this reaction
148,>>c1(nn(c2ccc(F)cn2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
149,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
150,>>c1(nn(c2ccccc2F)cc1Sc3ccc(Cl)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
151,>>c1(nn(c2cccc(F)c2)cc1Sc3ccc(Cl)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
152,>>c1(nn(c2cncc(F)c2)cc1Sc3ccc(Cl)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
153,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
154,>>c1(nn(c2ccccc2F)cc1Sc3ccc(Cl)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
155,>>c1(nn(c2cccc(F)c2)cc1Sc3ccc(Cl)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
156,>>c1(nn(c2cncc(F)c2)cc1Sc3ccc(Cl)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
157,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
158,>>c1(nn(c2cncc(Cl)c2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
159,>>c1(nn(c2cccnc2)cc1Sc3ccc(Cl)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
160,>>c1(nn(c2ccncc2)cc1Sc3ccc(Cl)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
161,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4cnc(C(C)=O)cn4,Ignored this reaction
162,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cc3)c4cnc(C(C)=O)cn4,Ignored this reaction
163,>>c1(nn(c2ccc(C)nn2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
164,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4cnc(C)cn4,Ignored this reaction
165,>>c1(nn(c2ccccc2F)cc1Sc3ccc(Cl)cc3)c4cnc(C)cn4,Ignored this reaction
166,>>c1(nn(c2ccc(F)cn2)cc1Sc3ccc(Cl)cc3)c4cnc(C)cn4,Ignored this reaction
167,>>c1(nn(c2cncc(F)c2)cc1Sc3ccc(Cl)cc3)c4cnc(c5nnco5)cn4,Ignored this reaction
168,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(Cl)cc3)c4cnc(n5cncn5)cn4,Ignored this reaction
169,>>c1(nn(c2cccc(F)c2)cc1Sc3ccc(Cl)cc3)c4ccc(n5cncn5)nc4,Ignored this reaction
170,>>c1(nn(c2ccc(C)cn2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
171,>>c1(nn(c2cncc(F)c2)cc1Sc3ccc(Cl)cc3)c4cnc(C(=O)NC5CC5)cn4,Ignored this reaction
172,>>c1(nn(c2ccccc2)cc1Sc3ccc(C(F)(F)F)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
173,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cn3)c4cnc(C(=O)OC)cn4,Ignored this reaction
174,>>c1(nn(c2ccccc2)cc1Sc3ccc(Cl)cn3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
175,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(OC)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
176,>>c1(nn(c2ccc(Cl)cn2)cc1Sc3ccc(Cl)cc3)c4ccc(S(C)(=O)=O)cc4,Ignored this reaction
177,>>c1(nn(c2ccccc2)cc1Sc3ccc(F)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
178,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(OC)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
179,>>c1(nn(c2ccccc2)cc1Sc3ccc(F)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
180,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(C)cc3)c4cnc(C(=O)OC)cn4,Ignored this reaction
181,>>c1(nn(c2ccc(F)cc2)cc1Sc3ccc(C)cc3)c4cnc(C(C)(C)O)cn4,Ignored this reaction
182,>>c1(nn(c2ccc(F)cc2)cc1SC3CCCCC3)c4cnc(C(=O)OC)cn4,Ignored this reaction
