,raw_ractions,transformed_reactions,automap
32,c1(OC)cccc(Br)c1.c1(ccccc1)C(=O)Cl>>c1(ccc(OC)cc1Br)C(=O)c2ccccc2,c1(cc(Br)ccc1)OC.c1(C(Cl)=O)ccccc1>>c1(C(c2ccccc2)=O)c(Br)cc(OC)cc1,[c:1]1([cH:9][c:7]([Br:8])[cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:10]1([C:16](Cl)=[O:17])[cH:15][cH:14][cH:13][cH:12][cH:11]1>>[c:6]1([C:16]([c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)=[O:17])[c:7]([Br:8])[cH:9][c:1]([O:2][CH3:3])[cH:4][cH:5]1
33,c1(cc(OC)cc(OC)c1)NC(=O)c2scc(C(C)C)n2.C(C)(=O)Cl>>c1(C(C)=O)c(OC)cc(OC)cc1NC(=O)c2scc(C(C)C)n2,c1(NC(c2nc(C(C)C)cs2)=O)cc(OC)cc(OC)c1.C(Cl)(=O)C>>c1(c(NC(c2nc(C(C)C)cs2)=O)cc(OC)cc1OC)C(=O)C,[c:1]1([NH:11][C:12]([c:14]2[n:21][c:17]([CH:18]([CH3:20])[CH3:19])[cH:16][s:15]2)=[O:13])[cH:10][c:7]([O:8][CH3:9])[cH:6][c:3]([O:4][CH3:5])[cH:2]1.[C:22](Cl)(=[O:24])[CH3:23]>>[c:10]1([c:1]([NH:11][C:12]([c:14]2[n:21][c:17]([CH:18]([CH3:19])[CH3:20])[cH:16][s:15]2)=[O:13])[cH:2][c:3]([O:4][CH3:5])[cH:6][c:7]1[O:8][CH3:9])[C:22](=[O:24])[CH3:23]
34,c1(OC)c(OC)cc(OC)cc1OC.C(=O)(Cl)CC>>c1(C(=O)CC)c(OC)cc(OC)c(OC)c1OC,c1(c(OC)cc(OC)cc1OC)OC.C(CC)(Cl)=O>>c1(c(OC)c(OC)c(OC)cc1OC)C(CC)=O,[c:1]1([c:12]([O:13][CH3:14])[cH:11][c:8]([O:9][CH3:10])[cH:7][c:4]1[O:5][CH3:6])[O:2][CH3:3].[C:15]([CH2:18][CH3:19])(Cl)=[O:16]>>[c:7]1([c:4]([O:5][CH3:6])[c:1]([O:2][CH3:3])[c:12]([O:13][CH3:14])[cH:11][c:8]1[O:9][CH3:10])[C:15]([CH2:18][CH3:19])=[O:16]
35,c1(cccc(Br)c1)C(=O)Cl.c1(OC)ccccc1>>C(=O)(c1cccc(Br)c1)c2ccc(OC)cc2,c1(C(Cl)=O)cc(Br)ccc1.c1(ccccc1)OC>>C(c1ccc(OC)cc1)(c1cc(Br)ccc1)=O,[c:1]1([C:8](Cl)=[O:9])[cH:7][c:5]([Br:6])[cH:4][cH:3][cH:2]1.[c:11]1([cH:18][cH:17][cH:16][cH:15][cH:14]1)[O:12][CH3:13]>>[C:8]([c:16]1[cH:17][cH:18][c:11]([O:12][CH3:13])[cH:14][cH:15]1)([c:1]1[cH:7][c:5]([Br:6])[cH:4][cH:3][cH:2]1)=[O:9]
36,c1(OC)ccccc1.c1(cccc(F)c1)C(=O)Cl>>C(=O)(c1cccc(F)c1)c2ccc(OC)cc2,c1(ccccc1)OC.c1(C(Cl)=O)cc(F)ccc1>>C(c1ccc(OC)cc1)(c1cc(F)ccc1)=O,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:9]1([C:16](Cl)=[O:17])[cH:15][c:13]([F:14])[cH:12][cH:11][cH:10]1>>[C:16]([c:6]1[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]1)([c:9]1[cH:15][c:13]([F:14])[cH:12][cH:11][cH:10]1)=[O:17]
37,c1(OC)ccccc1C.c1(ccccc1)CC(=O)Cl>>c1(ccc(OC)c(C)c1)C(=O)Cc2ccccc2,c1(c(C)cccc1)OC.c1(CC(Cl)=O)ccccc1>>c1(C(Cc2ccccc2)=O)cc(C)c(OC)cc1,[c:1]1([c:8]([CH3:9])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:10]1([CH2:16][C:17](Cl)=[O:18])[cH:15][cH:14][cH:13][cH:12][cH:11]1>>[c:6]1([C:17]([CH2:16][c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)=[O:18])[cH:7][c:8]([CH3:9])[c:1]([O:2][CH3:3])[cH:4][cH:5]1
38,c1(OC)ccccc1.C(CBr)C(=O)Cl>>c1(ccc(OC)cc1)C(=O)CCBr,c1(ccccc1)OC.C(C(Cl)=O)CBr>>c1(C(CCBr)=O)ccc(OC)cc1,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[CH2:9]([C:12](Cl)=[O:13])[CH2:10][Br:11]>>[c:6]1([C:12]([CH2:9][CH2:10][Br:11])=[O:13])[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]1
39,C(=O)(Cl)CCCCCl.c1(OC)cccc(OC)c1>>c1(ccc(OC)cc1OC)C(=O)CCCCCl,C(CCCCCl)(Cl)=O.c1(cc(OC)ccc1)OC>>c1(C(CCCCCl)=O)c(OC)cc(OC)cc1,[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][Cl:8])(Cl)=[O:2].[c:9]1([cH:18][c:15]([O:16][CH3:17])[cH:14][cH:13][cH:12]1)[O:10][CH3:11]>>[c:14]1([C:1]([CH2:4][CH2:5][CH2:6][CH2:7][Cl:8])=[O:2])[c:15]([O:16][CH3:17])[cH:18][c:9]([O:10][CH3:11])[cH:12][cH:13]1
40,c1(cccc(Cl)c1)C(=O)Cl.c1(OC)ccccc1>>C(=O)(c1cccc(Cl)c1)c2ccc(OC)cc2,c1(C(Cl)=O)cc(Cl)ccc1.c1(ccccc1)OC>>C(c1ccc(OC)cc1)(c1cc(Cl)ccc1)=O,[c:1]1([C:8](Cl)=[O:9])[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1.[c:11]1([cH:18][cH:17][cH:16][cH:15][cH:14]1)[O:12][CH3:13]>>[C:8]([c:16]1[cH:17][cH:18][c:11]([O:12][CH3:13])[cH:14][cH:15]1)([c:1]1[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1)=[O:9]
41,C(=O)(Cl)CCCCBr.c1(OC)ccccc1>>c1(ccc(OC)cc1)C(=O)CCCCBr,C(CCCCBr)(Cl)=O.c1(ccccc1)OC>>c1(C(CCCCBr)=O)ccc(OC)cc1,[C:1]([CH2:4][CH2:5][CH2:6][CH2:7][Br:8])(Cl)=[O:2].[c:9]1([cH:16][cH:15][cH:14][cH:13][cH:12]1)[O:10][CH3:11]>>[c:14]1([C:1]([CH2:4][CH2:5][CH2:6][CH2:7][Br:8])=[O:2])[cH:15][cH:16][c:9]([O:10][CH3:11])[cH:12][cH:13]1
