,raw_ractions,transformed_reactions,automap
36,c12c(cccc1)OC(=O)C=C2O>>c12c(cccc1)OC(=O)C=C2Cl,c12C(O)=CC(=O)Oc1cccc2>>c12C(Cl)=CC(=O)Oc1cccc2,[c:1]12[C:11](O)=[CH:10][C:8](=[O:9])[O:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:1]12[C:11](Cl)=[CH:10][C:8](=[O:9])[O:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2
37,O=C.c1(ccc(O)cc1)N(=O)=O>>c1(cc(N(=O)=O)ccc1O)Cc2cc(N(=O)=O)ccc2O,O=C.c1(N(=O)=O)ccc(O)cc1>>c1(Cc2c(O)ccc(N(=O)=O)c2)c(O)ccc(N(=O)=O)c1,O=C.[c:3]1([N:10](=[O:12])=[O:11])[cH:9][cH:8][c:6]([OH:7])[cH:5][cH:4]1>>[c:5]1(C[c:5]2[c:6]([OH:7])[cH:8][cH:9][c:3]([N:10](=[O:12])=[O:11])[cH:4]2)[c:6]([OH:7])[cH:8][cH:9][c:3]([N:10](=[O:12])=[O:11])[cH:4]1
38,O=C.c12c(ccc(O)c1)ccc(O)c2>>c12c(ccc(O)c1Cc3c(O)ccc(ccc(O)c4)c34)ccc(O)c2,O=C.c12cc(O)ccc1ccc(c2)O>>c12cc(O)ccc1ccc(c2Cc1c2cc(O)ccc2ccc1O)O,O=C.[c:3]12[cH:14][c:12]([OH:13])[cH:11][cH:10][c:4]1[cH:5][cH:6][c:7]([cH:9]2)[OH:8]>>[c:3]12[cH:9][c:7]([OH:8])[cH:6][cH:5][c:4]1[cH:10][cH:11][c:12]([c:14]2C[c:9]1[c:3]2[cH:14][c:12]([OH:13])[cH:11][cH:10][c:4]2[cH:5][cH:6][c:7]1[OH:8])[OH:13]
39,c12c(cccc1)[nH]cc2CCN.c1(ccccc1)C(=O)Cl>>c12c(cccc1)[nH]cc2CCNC(=O)c3ccccc3,c12c(CCN)c[nH]c1cccc2.c1(C(Cl)=O)ccccc1>>c12c(CCNC(c3ccccc3)=O)c[nH]c1cccc2,[c:1]12[c:9]([CH2:10][CH2:11][NH2:12])[cH:8][nH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2.[c:13]1([C:19](Cl)=[O:20])[cH:18][cH:17][cH:16][cH:15][cH:14]1>>[c:1]12[c:9]([CH2:10][CH2:11][NH:12][C:19]([c:13]3[cH:18][cH:17][cH:16][cH:15][cH:14]3)=[O:20])[cH:8][nH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2
40,C1(=O)CCC(C)=C1>>C12C(C)(CCC1=O)O2,C1(C=C(C)CC1)=O>>C12OC1(CCC2=O)C,[C:1]1([CH:7]=[C:5]([CH3:6])[CH2:4][CH2:3]1)=[O:2]>>[CH:7]12O[C:5]1([CH2:4][CH2:3][C:1]2=[O:2])[CH3:6]
41,c1(ccc(O)cc1)N(=O)=O>>c1(cc(Br)c(O)c(Br)c1)N(=O)=O,c1(N(=O)=O)ccc(O)cc1>>c1(N(=O)=O)cc(Br)c(O)c(Br)c1,[c:1]1([N:8](=[O:10])=[O:9])[cH:7][cH:6][c:4]([OH:5])[cH:3][cH:2]1>>[c:1]1([N:8](=[O:10])=[O:9])[cH:7][c:6](Br)[c:4]([OH:5])[c:3](Br)[cH:2]1
42,c1(O)cc(O)ccc1C(C)=O>>c1(N(=O)=O)cc(C(C)=O)c(O)cc1O,c1(c(C(=O)C)ccc(O)c1)O>>c1(c(O)cc(O)c(C(=O)C)c1)N(=O)=O,[c:1]1([c:8]([C:9](=[O:11])[CH3:10])[cH:7][cH:6][c:4]([OH:5])[cH:3]1)[OH:2]>>[c:6]1([c:4]([OH:5])[cH:3][c:1]([OH:2])[c:8]([C:9](=[O:11])[CH3:10])[cH:7]1)N(=O)=O
43,c1(cccc(Br)n1)c2ccccn2>>c1(cccc(N)n1)c2ccccn2,c1(-c2ncccc2)nc(Br)ccc1>>c1(-c2ncccc2)nc(N)ccc1,[c:1]1(-[c:8]2[n:13][cH:12][cH:11][cH:10][cH:9]2)[n:7][c:5](Br)[cH:4][cH:3][cH:2]1>>[c:1]1(-[c:8]2[n:13][cH:12][cH:11][cH:10][cH:9]2)[n:7][c:5](N)[cH:4][cH:3][cH:2]1
44,c12c(cccc1)NC(=O)N2>>c1(N(=O)=O)cc2c(NC(=O)N2)cc1N(=O)=O,c12NC(=O)Nc1cccc2>>c1(c(N(=O)=O)cc2NC(Nc2c1)=O)N(=O)=O,[c:1]12[NH:10][C:8](=[O:9])[NH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:5]1([c:4](N(=O)=O)[cH:3][c:2]2[NH:7][C:8]([NH:10][c:1]2[cH:6]1)=[O:9])N(=O)=O
45,c1(ccc(O)nc1)N(=O)=O>>c1(ccc(Cl)nc1)N(=O)=O,c1(N(=O)=O)cnc(O)cc1>>c1(N(=O)=O)cnc(Cl)cc1,[c:1]1([N:8](=[O:10])=[O:9])[cH:7][n:6][c:4](O)[cH:3][cH:2]1>>[c:1]1([N:8](=[O:10])=[O:9])[cH:7][n:6][c:4](Cl)[cH:3][cH:2]1
46,c1(ccc(O)nc1)N(=O)=O>>c1(N(=O)=O)cnc(O)c(Cl)c1,c1(N(=O)=O)cnc(O)cc1>>c1(cc(Cl)c(O)nc1)N(=O)=O,[c:1]1([N:8](=[O:10])=[O:9])[cH:7][n:6][c:4]([OH:5])[cH:3][cH:2]1>>[c:1]1([cH:2][c:3](Cl)[c:4]([OH:5])[n:6][cH:7]1)[N:8](=[O:10])=[O:9]
47,c1(ccc(N)nc1)N(=O)=O>>c1(ccc(O)nc1)N(=O)=O,c1(N(=O)=O)cnc(N)cc1>>c1(N(=O)=O)cnc(O)cc1,[c:1]1([N:8](=[O:10])=[O:9])[cH:7][n:6][c:4](N)[cH:3][cH:2]1>>[c:1]1([N:8](=[O:10])=[O:9])[cH:7][n:6][c:4](O)[cH:3][cH:2]1
48,c1(ccc(Cl)nc1)N(=O)=O>>c1(N)cccnc1,c1(N(=O)=O)cnc(Cl)cc1>>c1(cnccc1)N,[c:1]1(N(=O)=O)[cH:7][n:6][c:4](Cl)[cH:3][cH:2]1>>[c:1]1([cH:7][n:6][cH:4][cH:3][cH:2]1)N
49,c1(ccc(C=O)s1)N(=O)=O>>c1(ccc(C(=O)O)s1)N(=O)=O,c1(N(=O)=O)sc(C=O)cc1>>c1(N(=O)=O)sc(C(O)=O)cc1,[c:1]1([N:8](=[O:10])=[O:9])[s:7][c:4]([CH:5]=[O:6])[cH:3][cH:2]1>>[c:1]1([N:8](=[O:10])=[O:9])[s:7][c:4]([C:5](O)=[O:6])[cH:3][cH:2]1
50,c1(CC#N)cccnc1Cl>>c1(CC(=O)O)cccnc1Cl,c1(c(Cl)nccc1)CC#N>>c1(c(Cl)nccc1)CC(O)=O,[c:1]1([c:9]([Cl:10])[n:8][cH:7][cH:6][cH:5]1)[CH2:2][C:3]#N>>[c:1]1([c:9]([Cl:10])[n:8][cH:7][cH:6][cH:5]1)[CH2:2][C:3](O)=O
51,S(=O)(=O)(O)c1cccnc1>>S(=O)(=O)(Cl)c1cccnc1,S(c1cnccc1)(O)(=O)=O>>S(c1cnccc1)(Cl)(=O)=O,[S:1]([c:5]1[cH:10][n:9][cH:8][cH:7][cH:6]1)(O)(=[O:3])=[O:2]>>[S:1]([c:5]1[cH:10][n:9][cH:8][cH:7][cH:6]1)(Cl)(=[O:3])=[O:2]
52,c12c(cccc1)OCCO2>>c12c(OCCO1)ccc(Br)c2,c12OCCOc1cccc2>>c12cc(Br)ccc1OCCO2,[c:1]12[O:10][CH2:9][CH2:8][O:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:1]12[cH:6][c:5](Br)[cH:4][cH:3][c:2]1[O:7][CH2:8][CH2:9][O:10]2
53,c1(ccc(Br)cn1)N(=O)=O>>c1(N)ccc(Br)cn1,c1(N(=O)=O)ncc(Br)cc1>>c1(ncc(Br)cc1)N,[c:1]1(N(=O)=O)[n:7][cH:6][c:4]([Br:5])[cH:3][cH:2]1>>[c:1]1([n:7][cH:6][c:4]([Br:5])[cH:3][cH:2]1)N
54,c12c(cccc1)[nH]cc2C#N>>c12c(cccc1)[nH]cc2C(N)=S,c12c(C#N)c[nH]c1cccc2>>c12c(C(=S)N)c[nH]c1cccc2,[c:1]12[c:9]([C:10]#N)[cH:8][nH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:1]12[c:9]([C:10](=S)N)[cH:8][nH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2
55,C(C)Br>>S(CC)S([O-])(=O)=O.[Na+],C(Br)C>>S(S(=O)(=O)[O-])CC.[Na+],[CH2:1](Br)[CH3:2]>>S(S(=O)(=O)[O-])[CH2:1][CH3:2].[Na+]
56,[Si](C)(C)(C)Cl.[Si](C)(C)(C)Cl>>[Si](C)(C)(C)O[Si](C)(C)C,[Si](Cl)(C)(C)C.[Si](Cl)(C)(C)C>>[Si](O[Si](C)(C)C)(C)(C)C,[Si:1](Cl)([CH3:4])([CH3:3])[CH3:2].[Si:6](Cl)([CH3:9])([CH3:8])[CH3:7]>>[Si:1](O[Si:6]([CH3:9])([CH3:8])[CH3:7])([CH3:4])([CH3:3])[CH3:2]
57,[Si](C)(C)(C)Cl.[Si](C)(C)(C)Cl>>[Si](C)(C)(C)N[Si](C)(C)C,[Si](Cl)(C)(C)C.[Si](Cl)(C)(C)C>>[Si](N[Si](C)(C)C)(C)(C)C,[Si:1](Cl)([CH3:4])([CH3:3])[CH3:2].[Si:6](Cl)([CH3:9])([CH3:8])[CH3:7]>>[Si:1](N[Si:6]([CH3:9])([CH3:8])[CH3:7])([CH3:4])([CH3:3])[CH3:2]
58,N(O)=CC>>C(C)(Cl)=NO,N(=CC)O>>C(=NO)(Cl)C,[N:1](=[CH:3][CH3:4])[OH:2]>>[C:3](=[N:1][OH:2])(Cl)[CH3:4]
59,c1(C=C)ccc(C)cc1>>c1(ccc(C)cc1)C(Br)CBr,c1(ccc(C)cc1)C=C>>c1(C(CBr)Br)ccc(C)cc1,[c:1]1([cH:9][cH:8][c:6]([CH3:7])[cH:5][cH:4]1)[CH:2]=C>>[c:1]1([CH:2](CBr)Br)[cH:4][cH:5][c:6]([CH3:7])[cH:8][cH:9]1
60,C(C)(C)(C)C(C)=O>>C(C)(C)(C)C(C)O,C(C(=O)C)(C)(C)C>>C(C(O)C)(C)(C)C,[C:1]([C:5](=O)[CH3:6])([CH3:4])([CH3:3])[CH3:2]>>[C:1]([CH:5](O)[CH3:6])([CH3:4])([CH3:3])[CH3:2]
61,C(C)(C)(C)C(C)=O>>C(C)(C)(C)[C@]([H])(C)O,C(C(=O)C)(C)(C)C>>C([C@@](O)(C)[H])(C)(C)C,[C:1]([C:5](=O)[CH3:6])([CH3:4])([CH3:3])[CH3:2]>>[C:1]([C@@:5](O)([CH3:6])[H])([CH3:4])([CH3:3])[CH3:2]
62,C(C)(C)(C)C(C)=O>>C(=O)(C(Cl)Cl)C(C)(C)C,C(C(=O)C)(C)(C)C>>C(C(C)(C)C)(C(Cl)Cl)=O,[C:1]([C:5](=[O:7])[CH3:6])([CH3:4])([CH3:3])[CH3:2]>>[C:5]([C:1]([CH3:4])([CH3:3])[CH3:2])([CH:6](Cl)Cl)=[O:7]
63,c1(\C([H])=N\O)ccccc1>>c1(ccccc1)C(Cl)=NO,c1(ccccc1)/C(=N/O)/[H]>>c1(C(=NO)Cl)ccccc1,[c:1]1([cH:10][cH:9][cH:8][cH:7][cH:6]1)/[C:2](=[N:4]/[OH:5])/[H]>>[c:1]1([C:2](=[N:4][OH:5])Cl)[cH:10][cH:9][cH:8][cH:7][cH:6]1
64,c12c(ccc(Br)c1)C(=O)OC2>>c1(CO)cc(Br)ccc1C(=O)O,c12COC(=O)c1ccc(c2)Br>>c1(c(C(O)=O)ccc(Br)c1)CO,[c:1]12[CH2:11][O:10][C:8](=[O:9])[c:2]1[cH:3][cH:4][c:5]([cH:7]2)[Br:6]>>[c:1]1([c:2]([C:8](O)=[O:9])[cH:3][cH:4][c:5]([Br:6])[cH:7]1)[CH2:11][OH:10]
