,raw_ractions,transformed_reactions,automap
4333,c12c(cccc1)CCC(C(N)=O)N2>>N12C(CCc(cccc3)c13)CN=C2\C=C\c4ccccc4,c12NC(C(=O)N)CCc1cccc2>>N12C(/C=C/c3ccccc3)=NCC1CCc1c2cccc1,[c:1]12[NH:13][CH:9]([C:10](=O)[NH2:11])[CH2:8][CH2:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[N:13]12C(/C=C/c3ccccc3)=[N:11][CH2:10][CH:9]1[CH2:8][CH2:7][c:2]1[c:1]2[cH:6][cH:5][cH:4][cH:3]1
4334,C(CCCl)CCCO>>c1(ccc(N=Nc2ccccc2)cc1)\N=N\c3ccc(OCCCCCCOC(=O)C=C)cc3,C(CCCO)CCCl>>c1(/N=N/c2ccc(OCCCCCCOC(C=C)=O)cc2)ccc(N=Nc2ccccc2)cc1,[CH2:1]([CH2:5][CH2:6][CH2:7][OH:8])[CH2:2][CH2:3]Cl>>c1(/N=N/[c:1]2[cH:5][cH:6][c:7]([O:8][CH2:3][CH2:2][CH2:1][CH2:5][CH2:6][CH2:7][O:8]C(C=C)=O)[cH:3][cH:2]2)ccc(N=Nc2ccccc2)cc1
4335,[C@@]([H])(CSSC[C@]([H])(NC(=O)CC[C@]([H])(N)C(=O)O)C(=O)NCC(=O)O)(NC(=O)CC[C@]([H])(N)C(=O)O)C(=O)NCC(=O)O>>[C@@]([H])(CSSC(=S)N(CC)CC)(NC(=O)CC[C@]([H])(N)C(=O)O)C(=O)NCC(=O)O,[C@@](C(NCC(O)=O)=O)(NC(CC[C@@](C(O)=O)(N)[H])=O)(CSSC[C@@](C(NCC(O)=O)=O)(NC(CC[C@@](C(O)=O)(N)[H])=O)[H])[H]>>[C@@](C(NCC(O)=O)=O)(NC(CC[C@@](C(O)=O)(N)[H])=O)(CSSC(N(CC)CC)=S)[H],[C@@:7]([C:20]([NH:22][CH2:23][C:24]([OH:26])=[O:25])=[O:21])([NH:9][C:10]([CH2:12][CH2:13][C@@:14]([C:17]([OH:19])=[O:18])([NH2:16])[H])=[O:11])([CH2:3][S:4][S:5][CH2:6][C@@:7]([C:20]([NH:22][CH2:23][C:24]([OH:26])=[O:25])=[O:21])([NH:9][C:10]([CH2:12][CH2:13][C@@:14]([C:17]([OH:19])=[O:18])([NH2:16])[H])=[O:11])[H])[H]>>[C@@:7]([C:20]([NH:22][CH2:23][C:24]([OH:26])=[O:25])=[O:21])([NH:9][C:10]([CH2:12][CH2:13][C@@:14]([C:17]([OH:19])=[O:18])([NH2:16])[H])=[O:11])([CH2:6][S:5][S:4][C:3]([N:9]([CH2:10][CH3:12])[CH2:7][CH3:6])=S)[H]
4336,[C@]([H])(C)(CC)CO>>C([C@@H](C)CC)C(O)C[C@@H](C)CC,[C@](CO)(CC)(C)[H]>>C(C(C[C@H](CC)C)O)[C@H](CC)C,[C@:1]([CH2:6][OH:7])([CH2:4][CH3:5])(C)[H]>>C([CH:6]([CH2:1][C@H:4]([CH2:5]C)C)[OH:7])[C@H](CC)C
4337,[C@]([H])(C)(CC)CO>>C([C@@H](C)CC)C(=O)C[C@@H](C)CC,[C@](CO)(CC)(C)[H]>>C(C(C[C@H](CC)C)=O)[C@H](CC)C,[C@:1]([CH2:6]O)([CH2:4][CH3:5])([CH3:3])[H]>>[CH2:6]([C:5]([CH2:4][C@H:1]([CH2:3]C)[CH3:6])=O)[C@H:1]([CH2:4][CH3:5])[CH3:3]
4338,[C@H](C)(CC)CBr.[C@H](C)(CC)CBr>>C([C@@H](C)CC)C(=O)C[C@@H](C)CC,[C@@H](CBr)(CC)C.[C@@H](CBr)(CC)C>>C(C(C[C@H](CC)C)=O)[C@H](CC)C,[C@@H:1]([CH2:5]Br)([CH2:3][CH3:4])[CH3:2].[C@@H:7]([CH2:11]Br)([CH2:9][CH3:10])[CH3:8]>>[CH2:5](C([CH2:11][C@H:7]([CH2:9][CH3:10])[CH3:8])=O)[C@H:1]([CH2:3][CH3:4])[CH3:2]
4339,C(=C(\C)/CC)/C(=O)OC>>C(/C)(=C/Br)\CC,C(/C(OC)=O)=C(/CC)\C>>C(/CC)(=C\Br)\C,[CH:1](/C(OC)=O)=[C:2](/[CH2:4][CH3:5])\[CH3:3]>>[C:2](/[CH2:4][CH3:5])(=[CH:1]\Br)\[CH3:3]
4340,C(=C(\C)/CC)/C(=O)OC>>C(Br)(C(=O)O)C(C)(Br)CC,C(/C(OC)=O)=C(/CC)\C>>C(C(CC)(Br)C)(C(O)=O)Br,[CH:1](/[C:6]([O:8]C)=[O:7])=C(/CC)\C>>[CH:1](C(CC)(Br)C)([C:6]([OH:8])=[O:7])Br
4341,C(=C(\C)/CC)/C(=O)OC>>[C@@H](O)(CC)CC\C=C(/C)\CC,C(/C(OC)=O)=C(/CC)\C>>[C@H](CC/C=C(/CC)\C)(CC)O,[CH:1](/[C:6](OC)=O)=[C:2](/[CH2:4][CH3:5])\[CH3:3]>>[C@H](C[CH2:6]/[CH:1]=[C:2](/[CH2:4][CH3:5])\[CH3:3])(CC)O
4342,C(=C(\C)/CC)/C(=O)OC>>[C@H](O)(CC)CC\C=C(/C)\CC,C(/C(OC)=O)=C(/CC)\C>>[C@@H](CC/C=C(/CC)\C)(CC)O,[CH:1](/[C:6](OC)=O)=[C:2](/[CH2:4][CH3:5])\[CH3:3]>>[C@@H](C[CH2:6]/[CH:1]=[C:2](/[CH2:4][CH3:5])\[CH3:3])(CC)O
4343,C(=C(\C)/CC)/C(=O)OC>>[C@@H](CC)(CC\C=C(/C)\CC)OC(C)=O,C(/C(OC)=O)=C(/CC)\C>>[C@H](OC(=O)C)(CC/C=C(/CC)\C)CC,[CH:1](/[C:6](OC)=O)=[C:2](/[CH2:4][CH3:5])\[CH3:3]>>[C@H](OC(=O)C)(C[CH2:6]/[CH:1]=[C:2](/[CH2:4][CH3:5])\[CH3:3])CC
4344,C(=C(\C)/CC)/C(=O)OC>>[C@H](CC)(CC\C=C(/C)\CC)OC(C)=O,C(/C(OC)=O)=C(/CC)\C>>[C@@H](OC(=O)C)(CC/C=C(/CC)\C)CC,[CH:1](/[C:6](OC)=O)=[C:2](/[CH2:4][CH3:5])\[CH3:3]>>[C@@H](OC(=O)C)(C[CH2:6]/[CH:1]=[C:2](/[CH2:4][CH3:5])\[CH3:3])CC
